id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10386,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19455281.0,19455281.0,False,,1,,,,2023-08-12T18:05:00.000Z,29409.34307174637,6470130134.026305,-37.6487,-0.12162631,0.32512029,1.31870706,-5.56330676,13.80572349,9.17435705,572167033486.2288,48.7237,617596204506.67,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
1027,Ethereum,ETH,ethereum,7228,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120147264.7768211,120147264.7768211,True,,2,,,,2023-08-12T18:05:00.000Z,1847.8373925679075,2430327197.5687857,-26.5978,-0.1523597,0.37971582,0.88244866,-7.3241732,6.32074183,2.32724341,222012608469.3671,18.9065,222012608469.37,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
825,Tether USDt,USDT,tether,59314,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83410866925.61348,86684257831.22595,True,,3,,,,2023-08-12T18:05:00.000Z,0.9995916639934775,13681921374.842667,-77.367,0.00367739,0.07487221,0.07790059,-0.06425019,-0.00967415,-0.08141541,83376807265.3125,7.1001,86648861527.55,,2023-08-12T18:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-12 23:37:30.840123
1839,BNB,BNB,bnb,1565,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153853066.08449748,153853066.08449748,False,,4,,,,2023-08-12T18:05:00.000Z,240.56467955959022,290822587.0707741,-23.7146,-0.11929815,0.72457144,-0.67283357,-5.84641255,1.4733836,-23.08683256,37011613541.877594,3.1519,37011613541.88,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
52,XRP,XRP,xrp,1026,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52787284454.0,99988519823.0,False,,5,,,,2023-08-12T18:05:00.000Z,0.6295501299493906,514492815.27330834,-43.8031,-0.13809101,0.02507844,0.69530766,-17.80217392,23.04293932,47.70775885,33232241787.691147,2.8299,62955012994.94,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
3408,USD Coin,USDC,usd-coin,13582,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26138995277.816895,26138995277.816895,False,,6,,,,2023-08-12T18:05:00.000Z,1.000182269279366,1774617130.3983798,-28.227,0.00759016,0.01532662,0.02615577,0.00937724,0.03429185,0.02089508,26143759613.649536,2.2263,26143759613.65,,2023-08-12T18:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-12 23:37:30.840123
74,Dogecoin,DOGE,dogecoin,765,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140561576383.7052,140561576383.7052,True,,7,,,,2023-08-12T18:05:00.000Z,0.07679440935431728,285112372.65607774,25.554,-0.18131485,2.02267732,1.41192506,10.33078468,25.67458858,6.65622024,10794343236.298393,0.9192,10794343236.3,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
2010,Cardano,ADA,cardano,889,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35034417787.002,36061170836.355,False,,8,,,,2023-08-12T18:05:00.000Z,0.2927676813645123,111080908.93107696,-21.4939,-0.18717225,-0.53756208,0.31705858,-12.24844811,7.32025504,-20.8413774,10256945263.456203,0.8734,13174545661.4,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
5426,Solana,SOL,solana,497,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,405971807.3900962,554756326.6775181,True,,9,,,,2023-08-12T18:05:00.000Z,24.669817438475825,233135574.0274491,-26.1032,-0.40519628,0.88021488,9.46923326,-5.14525596,65.90819404,17.57026845,10015250373.481743,0.853,13685737301.97,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
1958,TRON,TRX,tron,808,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89490524494.33702,89490529791.40668,True,,10,71659659264.0,5542471405.918201,,2023-08-12T18:05:00.000Z,0.07734437287092431,129256156.15677889,-11.2828,-0.08237123,0.59656957,0.22492515,-3.99439421,8.00929113,11.82574202,6921588494.904588,0.5894,6921588904.6,,2023-08-12T18:05:00.000Z,,,,,,2023-08-12 23:37:30.840123
